td_url,performance_interactive,read_id,td_browser_version,td_os,td_ip,td_browser,read_rate,td_version,td_language,td_os_version,read_text_length,td_platform,since_prev_ms,td_screen,td_client_id,action,root_id,td_global_id,td_viewport,td_charset,td_description,read_attr,since_init_ms,td_referrer,read_target_height,read_elapsed_ms,td_title,td_color,td_user_agent,td_path,performance_dcl,td_host,category,ga_id,performance_complete,scroll_depth,scroll_unit,page_height,read_start_with,time
https://seishin-rugby.com/,342,,77.0.3865,Mac OS X,113.149.100.10,Chrome,,2.1.0,ja,10.13.6,,MacIntel,2288,1280x800,fb932498-6822-4ff5-8d53-959f9a134807,scroll,,6c137840-3cfb-4475-aec9-8e72836285aa,1280x689,utf-8,"",,2289,https://seishin-rugby.com/archives,,,清真学園ラグビー部 | 清真学園ラグビー部は、茨城県鹿嶋市にある、私立の中高一貫校で活動しています。 1980年創部以来、推薦などで選手を集めることなく、文武両道を目指して集まった同士が活動し、Speed and Interigenceを意識したプレースタイルで全国レベルを保っている点が大きな特色です。,24-bit,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",/,342,seishin-rugby.com,page,,2680,20,percent,2629,,1570170047
https://seishin-rugby.com/archives,290,,77.0.3865,Mac OS X,113.149.100.10,Chrome,,2.1.0,ja,10.13.6,,MacIntel,1774,1280x800,fb932498-6822-4ff5-8d53-959f9a134807,unload,,6c137840-3cfb-4475-aec9-8e72836285aa,1280x689,utf-8,"",,1775,https://seishin-rugby.com/sch,,,アーカイブス | 清真学園ラグビー部,24-bit,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",/archives,290,seishin-rugby.com,page,,,,,,,1570170044
https://seishin-rugby.com/archives/1019,459,,77.0.3865,Mac OS X,113.149.100.10,Chrome,,2.1.0,ja,10.13.6,,MacIntel,2,1280x800,fb932498-6822-4ff5-8d53-959f9a134807,rum,k1bqfltb-6sBhbQINifWp1fV2YdYHZ9d0mNJzoWrg,6c137840-3cfb-4475-aec9-8e72836285aa,1280x689,utf-8,"",,2,https://seishin-rugby.com/,,,茨城県高等学校ラグビーフットボール大会新人大会 3回戦 | 清真学園ラグビー部,24-bit,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",/archives/1019,459,seishin-rugby.com,page,GA1.2.1214412195.1569559757,,,,,,1570169590
https://seishin-rugby.com/about,556,,11.0,Windows,150.100.253.50,IE,,2.1.0,ja-jp,"",,Win32,2251,1920x1080,6121ac35-5d7a-4f3a-bbff-7f90dcb3f7cf,scroll,,056b87aa-f6f4-4a20-b116-24953087a72a,1027x714,utf-8,"",,2251,https://www.bing.com/search?q=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&qs=n&form=QBRE&sp=-1&pq=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&sc=0-9&sk=&cvid=B22F679B478247E4ABCBFEDA6542ED9B,,,部紹介 | 清真学園ラグビー部,24-bit,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,/about,556,seishin-rugby.com,page,,1393,40,percent,2182,,1570177865
https://seishin-rugby.com/about,556,,11.0,Windows,150.100.253.50,IE,,2.1.0,ja-jp,"",,Win32,0,1920x1080,6121ac35-5d7a-4f3a-bbff-7f90dcb3f7cf,view,k1bvcxb1-zxy6hZHfKyuIz4HaNxvnwZpOAk2nIuug,056b87aa-f6f4-4a20-b116-24953087a72a,1027x714,utf-8,"",,0,https://www.bing.com/search?q=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&qs=n&form=QBRE&sp=-1&pq=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&sc=0-9&sk=&cvid=B22F679B478247E4ABCBFEDA6542ED9B,,,部紹介 | 清真学園ラグビー部,24-bit,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,/about,556,seishin-rugby.com,page,"",,,,,,1570177863
https://seishin-rugby.com/about,556,,11.0,Windows,150.100.253.50,IE,,2.1.0,ja-jp,"",,Win32,302,1920x1080,6121ac35-5d7a-4f3a-bbff-7f90dcb3f7cf,scroll,,056b87aa-f6f4-4a20-b116-24953087a72a,1027x714,utf-8,"",,2556,https://www.bing.com/search?q=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&qs=n&form=QBRE&sp=-1&pq=%E8%8C%A8%E6%9C%A8%E7%A5%90%E4%BB%8B+%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC&sc=0-9&sk=&cvid=B22F679B478247E4ABCBFEDA6542ED9B,,,部紹介 | 清真学園ラグビー部,24-bit,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,/about,556,seishin-rugby.com,page,,1393,60,percent,2182,,1570177865
https://seishin-rugby.com/,2034,,12.0,iOS,49.98.170.155,Mobile Safari,,2.1.0,ja-jp,12.0.1,,iPhone,9,414x736,6c4f0ed1-feb3-466a-b0c4-d4862b6c1159,rum,k1bwh7v3-vqVPRWTA9S51kXc1AUKfGlSl6AKOSS86,73f44d44-65ea-4fbd-ae60-16296fe57333,414x613,utf-8,"",,9,"",,,清真学園ラグビー部 | 清真学園ラグビー部は、茨城県鹿嶋市にある、私立の中高一貫校で活動しています。 1980年創部以来、推薦などで選手を集めることなく、文武両道を目指して集まった同士が活動し、Speed and Interigenceを意識したプレースタイルで全国レベルを保っている点が大きな特色です。,32-bit,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",/,2034,seishin-rugby.com,page,"",,,,,,1570179744
https://seishin-rugby.com/games,,,77.0.3865.92,Android,126.193.138.83,Chrome Mobile,,2.1.0,ja-jp,8.0.0,,Linux armv7l,14,360x640,2c5e6a80-5311-453f-af72-9b76b82ea5e1,view,k1bw2f1t-x8dhwabeL4X78OV3WMzrKkEyxCg1foec,05ae1cdf-d0ea-4d15-966e-0d89fb295dad,360x460,utf-8,"",,14,https://search.yahoo.co.jp/,,,試合結果 | 清真学園ラグビー部,24-bit,"Mozilla/5.0 (Linux; Android 8.0.0; 603SH Build/S1022; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/77.0.3865.92 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.53.2",/games,,seishin-rugby.com,page,"",,,,,,1570179053
https://seishin-rugby.com/archives,,,77.0.3865,Mac OS X,113.149.100.10,Chrome,,2.1.0,ja,10.13.6,,MacIntel,,1280x800,fb932498-6822-4ff5-8d53-959f9a134807,,k1bqparv-Ric5OH2jdsyvYL3scBPEzWLEQD4wgZfU,6c137840-3cfb-4475-aec9-8e72836285aa,1280x689,utf-8,"",,,https://seishin-rugby.com/sch,,,アーカイブス | 清真学園ラグビー部,24-bit,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",/archives,,seishin-rugby.com,,GA1.2.1214412195.1569559757,,,,,,1570170042
https://seishin-rugby.com/,,,12.0,iOS,49.98.170.155,Mobile Safari,,2.1.0,ja-jp,12.0.1,,iPhone,,414x736,6c4f0ed1-feb3-466a-b0c4-d4862b6c1159,,k1bwh7v3-vqVPRWTA9S51kXc1AUKfGlSl6AKOSS86,fa8288f5-19d8-4e01-95f6-a142d4e47273,414x613,utf-8,"",,,"",,,清真学園ラグビー部 | 清真学園ラグビー部は、茨城県鹿嶋市にある、私立の中高一貫校で活動しています。 1980年創部以来、推薦などで選手を集めることなく、文武両道を目指して集まった同士が活動し、Speed and Interigenceを意識したプレースタイルで全国レベルを保っている点が大きな特色です。,32-bit,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",/,,seishin-rugby.com,,"",,,,,,1570179744
